Section,Key,Context / Where it shows,English,Norwegian (current),Notes for Rami
common,common.continue,Shared buttons used across app,Continue,Fortsett,
common,common.cancel,Shared buttons used across app,Cancel,Avbryt,
auth,auth.login,Login / signup / forgot password screens,Login,Logg inn,
auth,auth.loginDescription,Login / signup / forgot password screens,Enter your email and password to securely access your account and manage your services.,Skriv inn e-post og passord for å få sikker tilgang til kontoen din og administrere tjenestene dine.,
auth,auth.createAccount,Login / signup / forgot password screens,Create Account,Opprett konto,
auth,auth.createAccountDescription,Login / signup / forgot password screens,Create a new account to get started.,Opprett en ny konto for å komme i gang.,
auth,auth.forgotPassword,Login / signup / forgot password screens,Forgot Password,Glemt passord,
auth,auth.forgotPasswordQuestion,Login / signup / forgot password screens,Forgot Password?,Glemt passord?,
auth,auth.forgotPasswordDescription,Login / signup / forgot password screens,Enter your email address to receive a reset link and regain access to your account.,Skriv inn e-postadressen din for å motta en tilbakestillingslenke og få tilgang til kontoen igjen.,
auth,auth.emailAddress,Login / signup / forgot password screens,Email address,E-postadresse,
auth,auth.name,Login / signup / forgot password screens,Name,Navn,
auth,auth.password,Login / signup / forgot password screens,Password,Passord,
auth,auth.confirmPassword,Login / signup / forgot password screens,Confirm Password,Bekreft passord,
auth,auth.noAccountPrefix,Login / signup / forgot password screens,Don’t have an account?,Har du ikke en konto?,
auth,auth.alreadyHaveAccountPrefix,Login / signup / forgot password screens,Already have an account?,Har du allerede en konto?,
auth,auth.signUp,Login / signup / forgot password screens,Sign up,Registrer deg,
auth,auth.orContinueWithAccount,Login / signup / forgot password screens,Or Continue with Account,Eller fortsett med konto,
auth,auth.apple,Login / signup / forgot password screens,Apple,Apple,
auth,auth.google,Login / signup / forgot password screens,Google,Google,
auth,auth.resetPassword,Login / signup / forgot password screens,Reset Password,Tilbakestill passord,
auth,auth.resetPasswordDescription,Login / signup / forgot password screens,Enter your new password below.,Skriv inn ditt nye passord nedenfor.,
auth,auth.newPassword,Login / signup / forgot password screens,New Password,Nytt passord,
auth,auth.confirmNewPassword,Login / signup / forgot password screens,Confirm New Password,Bekreft nytt passord,
auth,auth.resetPasswordButton,Login / signup / forgot password screens,Reset Password,Tilbakestill passord,
auth,auth.passwordResetSuccess,Login / signup / forgot password screens,Password updated successfully!,Passordet er oppdatert!,
auth,auth.loginSuccess,Login / signup / forgot password screens,You are successfully logged in!,Du er logget inn!,
auth,auth.accountCreated,Login / signup / forgot password screens,Account created successfully!,Kontoen er opprettet!,
auth,auth.logout,Login / signup / forgot password screens,Log out,Logg ut,
auth,auth.errors.invalidEmail,Login / signup / forgot password screens,Please enter a valid email address.,Vennligst skriv inn en gyldig e-postadresse.,
auth,auth.errors.passwordTooShort,Login / signup / forgot password screens,Password must be at least 6 characters.,Passordet må være minst 6 tegn.,
auth,auth.errors.passwordsDoNotMatch,Login / signup / forgot password screens,Passwords do not match.,Passordene stemmer ikke overens.,
auth,auth.errors.nameRequired,Login / signup / forgot password screens,Name is required.,Navn er påkrevd.,
auth,auth.errors.resetPasswordSuccess,Login / signup / forgot password screens,Password reset email sent. Check your inbox.,E-post for tilbakestilling av passord er sendt. Sjekk innboksen din.,
getStarted,getStarted.quote,First splash screen before onboarding,ERA was born because I needed something that actually worked. Simple. Norwegian. Honest. For those who never give up.,ERA ble til fordi jeg trengte noe som faktisk fungerte. Enkelt. Norsk. Ærlig. For deg som ikke gir opp.,
getStarted,getStarted.button,First splash screen before onboarding,Get started,Kom i gang,
onboarding,onboarding.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Onboarding,Introduksjon,
onboarding,onboarding.actions.next,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Next,Neste,
onboarding,onboarding.actions.finish,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Finish,Fullfør,
onboarding,onboarding.steps.gender.title,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Gender,Kjønn,
onboarding,onboarding.steps.gender.eyebrow,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",SELECT GENDER,VELG KJØNN,
onboarding,onboarding.steps.gender.heading,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Let us personalise ERA for you.,La oss tilpasse ERA for deg.,
onboarding,onboarding.steps.gender.description,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Who are you training as?,Hvem trener du som?,
onboarding,onboarding.steps.gender.male,"Onboarding flow (gender, age, level, goal, focus, weight, height, paywall, calories, screen time, preview)",Man,Mann,
